movie_id,title,release_date,genres
1,Dead Man Down,2013-03-08,"Action, Crime, Drama, Thriller"
2,13TH,2016-10-07,"Documentary, Crime"
3,Hacksaw Ridge,2016-11-04,"Biography, Drama, History, War"
4,Just My Luck,2006-05-12,"Comedy, Fantasy, Romance"
5,The Amityville Horror,2005-04-15,Horror
6,American Violence,2017-06-11,"Crime, Drama, Thriller"
7,Heartthrob,2018-01-01,"Drama, Romance, Thriller"
8,Wonder,2017-11-17,"Drama, Family"
9,Raising the Bar,2016-05-02,"Drama, Family, Sport"
10,Lakeview Terrace,2008-09-19,"Crime, Drama, Thriller"
11,Mostly Sunny,2017-01-10,Documentary
12,Wedding Unplanned,2017-04-26,"Comedy, Drama"
13,Nanny McPhee and the Big Bang,2010-08-20,"Comedy, Family, Fantasy"
14,Half Girlfriend,2017-05-19,"Drama, Romance"
15,Frontline Fighting: Battling ISIS,2015-09-16,Documentary
16,El Camino Christmas,2017-12-08,"Comedy, Crime, Western"
17,Heist,2015-11-11,"Action, Crime, Drama, Thriller"
18,Vampires,1998-10-30,"Action, Horror, Thriller"
19,Air Bud: Seventh Inning Fetch,2002-06-18,"Comedy, Drama, Family, Sport"
20,Three-Quarters Decent,2012-01-15,NOT AVAILABLE
21,A Wish For Christmas,2016-10-29,"Drama, Family, Fantasy, Romance"
22,Baywatch,2017-05-25,"Action, Comedy, Crime"
23,The Trap,2019-04-01,Comedy
24,Wheelman,NOT AVAILABLE,NOT AVAILABLE
25,Lego DC Comics: Batman Be-Leaguered,2014-10-27,"Animation, Short, Action, Adventure, Comedy, Family, Sci-Fi"
26,After Porn Ends 2,2017-03-28,Documentary
27,The Duel,2016-06-24,"Drama, Western"
28,10 jours en or,2012-01-11,"Comedy, Drama"
29,When Angels Sleep,2018-09-07,"Drama, Thriller"
30,Super Dark Times,2017-09-29,"Crime, Drama, Horror, Thriller"
31,Warcraft,2016-06-10,"Action, Adventure, Fantasy"
32,Rustom,2016-08-12,"Crime, Drama, Thriller"
33,Top Dog,2014-05-26,"Crime, Drama"
34,A Life of Its Own: The Truth About Medical Marijuana,2017-04-09,Documentary
35,The Great Raid,2005-08-12,"Action, Drama, War"
36,The 40-Year-Old Virgin,2005-08-19,"Comedy, Romance"
37,Jackass Presents: Bad Grandpa,2013-10-25,Comedy
38,Good Time,2017-08-25,"Crime, Drama, Thriller"
39,Grown Ups 2,2013-07-12,Comedy
40,The Killer Elite,1975-12-19,"Action, Crime, Thriller"
41,The Burning Plain,2009-11-05,"Crime, Drama, Romance"
42,End of a Gun,2016-09-23,"Action, Crime, Thriller"
43,Straw Dogs,2011-09-16,"Action, Drama, Thriller"
44,F/X2,1991-05-10,"Action, Thriller"
45,Tucker and Dale vs. Evil,2010-12-09,"Comedy, Horror"
46,Unicorn Store,2019-04-05,"Comedy, Drama, Fantasy"
47,American Pie Presents: Beta House,2007-12-26,Comedy
48,Love Actually,2003-11-14,"Comedy, Drama, Romance"
49,Good Kids,2016-10-21,"Comedy, Drama"
50,The Kingdom,2007-09-28,"Action, Drama, Thriller"
51,The Highwaymen,2019-03-29,"Biography, Crime, Drama, Mystery, Thriller"
52,Hot Girls Wanted,2015-05-29,Documentary
53,It's a Boy Girl Thing,2006-12-26,"Comedy, Fantasy, Romance"
54,Madso's War,2010-12-30,"Action, Crime, Drama"
55,8mm,1999-02-26,"Crime, Drama, Mystery, Thriller"
56,All About Them,2015-03-25,"Comedy, Romance"
57,ARQ,2016-09-16,"Action, Sci-Fi, Thriller"
58,Tears of the Sun,2003-03-07,"Action, Drama, Thriller, War"
59,Harriet the Spy: Blog Wars,2010-03-26,"Comedy, Family"
60,Step Brothers,2008-07-25,Comedy
61,Batman Ninja,2018-04-24,"Animation, Action, Sci-Fi"
62,Message from the King,NOT AVAILABLE,NOT AVAILABLE
63,Don't Knock Twice,2017-02-03,"Drama, Fantasy, Horror, Mystery, Thriller"
64,The Midnight Meat Train,2008-10-31,"Horror, Mystery, Thriller"
65,Criminal Activities,2015-11-20,"Crime, Drama, Thriller"
66,Harvest Moon,2015-10-10,"Comedy, Drama, Romance"
67,"Knock, Knock",2015-10-09,"Drama, Thriller"
68,The Last Summer,2019-05-03,Comedy
69,Virgin School,2007-05-15,Documentary
70,Fatso,2012-05-04,"Comedy, Fantasy, Romance"
71,Masaan,2015-06-24,Drama
72,Switchback,1997-10-31,"Crime, Mystery, Thriller"
73,Aliens on the Moon: The Truth Exposed,2014-07-20,Sci-Fi
74,Shame,2012-01-13,Drama
75,Home Again,2017-09-08,"Comedy, Drama, Romance"
76,Hush,2016-04-08,"Horror, Thriller"
77,Insidious: Chapter 2,2013-09-13,"Horror, Mystery, Thriller"
78,Jora 10 Numbaria,2017-09-01,Action
79,The Firm,1993-06-30,"Drama, Mystery, Thriller"
80,Magic Mike XXL,2015-07-01,"Comedy, Drama, Music"
81,Stronger,2017-09-29,"Biography, Drama"
82,Jem and the Holograms,2015-10-23,"Adventure, Drama, Family, Fantasy, Music, Romance, Sci-Fi"
83,Bring It On: In It to Win It,2007-12-18,"Comedy, Sport"
84,Mark & Russell's Wild Ride,2015-11-23,"Adventure, Comedy, Family"
85,Alien Abduction,2014-05-01,"Horror, Sci-Fi, Thriller"
86,Shimmer Lake,2017-06-09,"Crime, Drama, Mystery, Thriller"
87,Home Invasion,2016-02-02,"Crime, Drama, Horror, Thriller"
88,30 Minutes or Less,2011-08-12,"Action, Comedy, Crime"
89,An American Girl: McKenna Shoots for the Stars,2012-07-03,"Drama, Family, Sport"
90,Rules of Engagement,2000-04-07,"Drama, Thriller, War"
91,Concussion,2013-12-05,Drama
92,The Visit,2015-09-11,"Horror, Mystery, Thriller"
93,The Secret Scripture,2017-10-13,"Drama, Romance"
94,Capitalism: A Love Story,2009-10-02,"Documentary, Crime"
95,Sharknado: The 4th Awakens,2016-07-31,"Horror, Sci-Fi"
96,American Pie Presents: The Naked Mile,2006-12-19,Comedy
97,Spy Kids,2001-03-30,"Action, Adventure, Comedy, Family, Sci-Fi"
98,Fred 3: Camp Fred,2012-07-28,"Comedy, Family"
99,Traffik,2018-04-20,"Action, Crime, Drama, Thriller"
100,Despido Procedente,2017-06-30,Comedy
101,Okja,2017-06-28,"Action, Adventure, Drama, Sci-Fi"
102,Love and Shukla,2018-01-06,"Comedy, Drama, Romance"
103,Automata,2014-10-17,"Action, Drama, Sci-Fi, Thriller"
104,Carrie,1976-11-16,Horror
105,Our Lovers,2016-06-03,"Comedy, Drama, Romance"
106,My Little Pony: The Movie,2017-10-06,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Musical"
107,The Adventures of Food Boy,2008-04-01,"Comedy, Fantasy"
108,Chopsticks,2019-05-31,"Comedy, Drama"
109,Faster,2010-11-24,"Action, Crime, Drama, Thriller"
110,Abzurdah,2015-06-04,"Biography, Drama, Romance"
111,Little Lunch: The Nightmare Before Graduation,NOT AVAILABLE,"Comedy, Family"
112,Midnight Special,2016-04-21,"Drama, Mystery, Sci-Fi, Thriller"
113,Hired Gun,2017-08-01,"Documentary, Music"
114,The Amazing Spider-Man 2,2014-05-02,"Action, Adventure, Sci-Fi"
115,Make It Happen,2008-08-08,Drama
116,Take the 10,2017-01-20,Comedy
117,Love By Chance,2016-04-16,"Comedy, Romance"
118,Bright,2017-12-22,"Action, Fantasy, Thriller"
119,Percentage,2014-04-24,"Action, Crime, Thriller"
120,Holiday: A Soldier Is Never Off Duty,2014-06-06,"Action, Thriller"
121,Extraction,2015-12-18,"Action, Thriller"
122,Django Unchained,2012-12-25,"Drama, Western"
123,Miller's Crossing,1990-10-05,"Crime, Drama, Thriller"
124,Chosen,2016-08-02,"Drama, War"
125,The Fate of the Furious,2017-04-14,"Action, Adventure, Crime, Thriller"
126,Blow,2001-04-06,"Biography, Crime, Drama"
127,Looking Glass,2018-02-16,"Mystery, Thriller"
128,True Memoirs of an International Assassin,2016-11-11,"Action, Comedy, Crime"
129,The Longest Yard,2005-05-27,"Comedy, Crime, Sport"
130,Ugly,2014-12-26,"Crime, Drama, Mystery, Thriller"
131,From Dusk Till Dawn 2: Texas Blood Money,1999-03-16,"Crime, Horror, Thriller"
132,National Security,2003-01-17,"Action, Comedy, Crime, Thriller"
133,War Machine,2017-05-26,"Comedy, Drama, War"
134,Dirty Grandpa,2016-01-22,Comedy
135,Now You See Me 2,2016-06-10,"Action, Adventure, Comedy, Crime, Mystery, Thriller"
136,The Babysitter,1995-10-17,"Drama, Thriller"
137,The Preacher's Son,2017-03-03,"Drama, Mystery, Romance"
138,Killing Me Softly,2002-06-21,"Drama, Mystery, Romance, Thriller"
139,The Circle,2017-04-28,"Drama, Sci-Fi, Thriller"
140,From Fat to Finish Line,2016-08-02,Documentary
141,Girl Missing,2015-10-25,Thriller
142,Seven Psychopaths,2012-10-12,"Comedy, Crime"
143,The Giant,2017-10-20,"Drama, History"
144,How the Grinch Stole Christmas,2000-11-17,"Comedy, Family, Fantasy"
145,Runnin' Down a Dream,2007-10-14,"Documentary, Music"
146,Deepwater Horizon,2016-09-30,"Action, Drama, History, Thriller"
147,Sisters,2015-12-18,Comedy
148,The Girl Who Played with Fire,2010-08-27,"Crime, Drama, Mystery, Thriller"
149,San Andreas,2015-05-29,"Action, Adventure, Drama, Thriller"
150,Koi... Mil Gaya,2003-08-08,"Action, Drama, Romance, Sci-Fi"
151,American Gangster,2007-11-02,"Biography, Crime, Drama, Thriller"
152,How to Get Over a Breakup,2018-05-31,Comedy
153,Set It Up,2018-06-15,"Comedy, Romance"
154,The Dolphin,2009-10-08,"Animation, Adventure, Family"
155,Twisted,2004-02-27,"Crime, Drama, Mystery, Thriller"
156,Poltergeist III,1988-06-10,"Horror, Thriller"
157,Temple,2017-09-01,"Adventure, Drama, Horror"
158,Derren Brown: The Push,2015-11-08,NOT AVAILABLE
159,The Martian,2015-10-02,"Adventure, Drama, Sci-Fi"
160,A Christmas Detour,2015-11-28,"Comedy, Romance"
161,Halo 4: Forward Unto Dawn,2012-10-05,"Action, Adventure, Family, Sci-Fi, Thriller, War"
162,Battle Royale,2000-12-16,"Action, Adventure, Drama, Sci-Fi, Thriller"
163,The Accidental Husband,2008-02-29,"Comedy, Romance"
164,Redcon-1,2019-05-03,"Action, Horror, Thriller"
165,Casper's Haunted Christmas,2000-10-31,"Animation, Comedy, Family, Fantasy, Horror"
166,Lusers,2015-10-01,"Adventure, Comedy"
167,Golden Years,2016-04-29,"Action, Comedy, Crime, Drama"
168,Captain Phillips,2013-10-11,"Biography, Crime, Drama, Thriller"
