relationID,videoID,tagID
1,1,6
2,3,12
3,5,2
4,8,4
5,12,28
6,15,41
7,16,3
8,17,13
9,21,3
10,25,4
11,30,22
12,31,5
13,34,9
14,34,33
15,35,12
16,38,9
17,48,8
18,54,12
19,59,35
20,61,4
21,65,13
22,69,31
23,80,5
24,85,38
25,85,11
26,93,35
27,94,9
28,94,8
29,97,35
30,102,8
31,114,6
32,117,8
33,120,12
34,120,3
35,131,24
36,133,12
37,144,3
38,148,6
39,151,13
40,151,27
41,160,3
42,162,6
43,162,12
44,165,3
45,165,2
46,197,9
47,202,6
48,212,5
49,213,22
50,218,5
51,222,9
52,226,3
53,233,8
54,236,3
55,253,9
56,259,9
57,260,8
58,293,11
59,307,15
60,309,8
61,323,6
62,329,3
63,339,6
64,342,5
65,347,22
66,349,3
67,355,6
68,355,12
69,356,9
70,356,3
71,356,2
72,359,3
73,366,40
74,369,31
75,373,9
76,381,19
77,408,6
78,408,12
79,411,8
80,417,41
81,418,12
82,419,3
83,424,9
84,431,28
85,432,30
86,433,35
87,435,6
88,445,26
89,445,38
90,445,11
91,450,8
92,451,22
93,454,3
94,456,12
95,467,15
96,470,1
97,478,22
98,482,13
99,497,22
100,500,40
101,502,22
102,505,8
103,506,22
104,510,3
105,513,24
106,514,9
107,518,6
108,518,12
109,526,31
110,532,6
111,534,24
112,536,22
113,540,24
114,550,37
115,564,35
116,583,9
117,591,5
118,593,3
119,596,38
120,596,11
121,597,6
122,597,12
123,598,3
124,601,13
125,606,15
126,611,2
127,652,5
128,655,13
129,657,23
130,658,14
131,659,8
132,680,20
133,690,2
134,694,33
135,699,9
136,706,3
137,714,6
138,721,4
139,724,22
140,724,10
141,736,8
142,748,12
143,749,8
144,751,8
145,757,13
146,759,15
147,760,30
148,770,35
149,771,8
150,776,6
151,784,9
152,789,8
153,790,13
154,791,12
155,824,22
156,838,6
157,840,7
158,865,2
159,873,6
160,876,9
161,876,38
162,876,11
163,879,16
164,886,21
165,909,8
166,912,3
167,916,1
168,929,33
169,952,5
170,954,9
171,954,35
172,966,20
173,974,8
174,979,20
175,985,8
176,993,14
177,993,13
178,993,10
179,996,5
180,998,6
181,1004,6
182,1005,9
183,1009,13
184,1014,8
185,1020,6
186,1029,6
187,1046,8
188,1048,22
189,1049,29
190,1062,13
191,1062,27
192,1065,15
193,1068,6
194,1084,6
195,1085,6
196,1087,22
197,1089,12
198,1090,24
199,1093,20
200,1099,15
201,1101,6
202,1102,38
203,1105,6
204,1112,40
205,1114,34
206,1115,20
207,1115,31
208,1125,9
209,1129,8
210,1130,12
211,1135,5
212,1148,29
213,1166,3
214,1167,22
215,1167,10
216,1180,23
217,1180,35
218,1184,8
219,1194,35
220,1196,22
221,1221,26
222,1235,28
223,1237,9
224,1242,22
225,1247,16
226,1249,15
227,1254,6
228,1262,3
229,1267,23
230,1268,6
231,1275,24
232,1288,2
233,1289,6
234,1291,28
235,1298,9
236,1298,8
237,1302,35
238,1304,5
239,1306,9
240,1306,2
241,1314,9
242,1323,22
243,1326,7
244,1329,6
245,1332,23
246,1363,6
247,1369,8
248,1370,2
249,1371,9
250,1371,18
251,1371,14
252,1374,22
253,1380,24
254,1381,9
255,1383,8
256,1395,3
257,1396,39
258,1396,25
259,1397,6
260,1400,6
261,1403,12
262,1412,6
263,1420,22
264,1420,34
265,1429,9
266,1431,22
267,1432,6
268,1453,19
269,1455,35
270,1456,8
271,1460,35
272,1474,22
273,1478,9
274,1478,31
275,1495,6
276,1499,2
277,1502,13
278,1509,35
279,1512,33
280,1515,6
281,1516,15
282,1541,38
283,1541,11
284,1545,3
285,1558,6
286,1562,11
287,1563,23
288,1590,5
289,1599,22
290,1601,34
291,1611,37
292,1614,15
293,1616,16
294,1620,6
295,1629,9
296,1629,13
297,1629,10
298,1631,12
299,1633,21
300,1649,3
301,1662,6
302,1662,12
303,1663,29
304,1666,35
305,1667,24
306,1675,15
307,1675,3
308,1677,8
309,1681,3
310,1682,15
311,1700,12
312,1702,24
313,1711,7
314,1714,3
315,1722,35
316,1725,39
317,1725,25
318,1726,31
319,1732,38
320,1732,11
321,1743,11
322,1743,15
323,1744,3
324,1748,8
325,1752,40
326,1758,6
327,1760,8
328,1766,5
329,1769,35
330,1771,3
331,1792,9
332,1798,3
333,1803,22
334,1805,9
335,1808,5
336,1818,6
337,1822,22
338,1828,22
339,1829,35
340,1830,9
341,1830,2
342,1831,16
343,1836,3
344,1842,5
345,1868,6
346,1869,34
347,1873,31
348,1893,3
349,1905,9
350,1905,7
351,1912,3
352,1916,19
353,1925,19
354,1927,22
355,1927,10
356,1934,12
357,1955,6
358,1959,8
359,1969,23
360,1969,35
361,1981,9
362,1982,35
363,1992,3
364,2002,35
365,2003,15
366,2006,6
367,2024,5
368,2029,9
369,2034,22
370,2038,23
371,2040,15
372,2056,2
373,2070,1
374,2071,2
375,2076,15
376,2076,24
377,2080,9
378,2094,2
379,2096,34
380,2109,16
381,2113,22
382,2119,3
383,2132,5
384,2138,8
385,2145,30
386,2148,31
387,2150,2
388,2171,22
