tagStatID,userID,tagID,totalWatchDuration,uniqueVideos
1,1,2,38954,4
2,1,3,376,2
3,1,5,4,1
4,1,7,187,1
5,1,8,13332,4
6,1,9,806,4
7,1,11,75805,1
8,1,12,1579,1
9,1,13,351,1
10,1,15,351859,2
11,1,21,1532,1
12,1,22,297,2
13,1,23,33,1
14,1,24,9903,2
15,1,31,538,1
16,1,35,44512,3
17,1,38,75805,1
18,2,2,117,2
19,2,3,239,1
20,2,6,101,1
21,2,7,4942,1
22,2,8,102879,1
23,2,9,5172,3
24,2,12,34,1
25,2,13,25470,1
26,2,15,590,3
27,2,22,396,2
28,2,23,460,2
29,2,24,187,1
30,2,30,426,1
31,2,31,158,1
32,2,35,615,4
33,3,2,90328,2
34,3,3,143,1
35,3,6,3496,1
36,3,8,101298,4
37,3,9,392216,4
38,3,12,521,1
39,3,15,69,2
40,3,23,28,1
41,3,31,647506,3
42,3,35,80833,4
43,4,3,2207,1
44,4,4,83791,1
45,4,6,5808,3
46,4,9,7029,1
47,4,31,7029,1
48,5,3,187589,2
49,5,10,0,1
50,5,11,0,1
51,5,22,0,1
52,6,3,2408,1
53,6,5,13707,1
54,6,6,51402,2
55,6,10,170620,1
56,6,12,2370,1
57,6,14,48870,1
58,6,22,170620,1
59,6,23,25072,1
60,6,24,66728,1
61,6,35,162737,4
62,7,6,29294,2
63,7,8,17666,1
64,7,9,28180,2
65,7,12,8,1
66,7,13,38110,5
67,7,14,10746,2
68,7,15,90045,1
69,7,18,10514,1
70,7,22,9679,1
71,7,27,10087,1
72,7,28,1683,1
73,7,35,14507,2
74,7,37,4576,1
75,7,40,6120,1
76,7,41,563,1
77,8,6,0,1
78,8,8,110985,5
79,8,9,0,2
80,8,15,1200,2
81,8,19,0,1
82,8,20,0,1
83,8,22,402,3
84,8,23,0,1
85,8,30,0,1
86,8,31,9,2
87,9,3,0,1
88,9,6,0,2
89,9,8,2491,4
90,9,9,52469,3
91,9,31,2072,1
92,9,35,1149,1
93,10,2,0,1
94,10,3,0,1
95,10,9,89741,3
96,10,13,0,1
97,10,16,0,1
98,10,24,84847,2
99,10,31,87379,1
100,10,34,0,1
101,10,35,4135958,3
102,11,3,56152,1
103,11,11,3601,1
104,12,6,172084,3
105,12,12,621,1
106,12,13,457777,3
107,12,16,90709,1
108,12,22,66836,2
109,12,30,80475,1
110,12,33,136,1
111,12,35,26,1
112,13,3,5082,1
113,13,5,4721,1
114,13,6,5756,1
115,13,8,15,2
116,13,9,12341,3
117,13,10,8456,1
118,13,11,6371,1
119,13,12,23486,2
120,13,13,15881,3
121,13,14,752,1
122,13,15,11562,2
123,13,18,752,1
124,13,22,5830,1
125,13,35,5203,2
126,14,2,10825,4
127,14,3,93180,16
128,14,5,8880,2
129,14,8,6555,3
130,14,9,6090,2
131,14,15,9352,3
132,14,16,6860,1
133,14,22,9234,3
134,14,28,7269,1
135,14,31,1565,1
136,14,34,30043,2
137,15,2,14260,2
138,15,5,0,1
139,15,6,0,1
140,15,8,70655,3
141,15,9,9471,1
142,15,10,2400,1
143,15,11,1876,1
144,15,15,0,1
145,15,22,31078,3
146,15,24,0,1
147,15,31,0,2
148,15,35,60529,1
149,15,38,1876,1
