userID,categoryID,proportion
1,4,0.346
1,1,0.1593
1,7,0.146
2,4,0.4135
2,7,0.2312
2,10,0.1462
3,4,0.6689
3,7,0.1396
3,2,0.0942
4,7,0.6173
4,2,0.3553
4,4,0.0193
5,4,0.4483
5,1,0.2976
5,3,0.2498
6,3,0.3367
6,1,0.2334
6,6,0.1802
7,1,0.4411
7,7,0.2836
7,4,0.1074
8,7,0.7648
8,2,0.1179
8,6,0.0942
9,4,0.7022
9,3,0.1344
9,5,0.0927
10,4,0.6672
10,8,0.2481
10,2,0.0637
11,3,0.5483
11,1,0.2645
11,4,0.1766
12,1,0.5469
12,2,0.1983
12,7,0.1297
13,1,0.4594
13,2,0.2447
13,7,0.1213
14,4,0.4005
14,1,0.2413
14,7,0.1087
15,7,0.4361
15,4,0.2333
15,10,0.203
16,3,0.3729
16,1,0.2894
16,4,0.2694
17,4,0.9061
17,1,0.0563
17,2,0.0233
18,3,0.9986
18,2,0.0014
18,4,0.0
19,1,0.6344
19,7,0.2701
19,5,0.0504
20,1,0.4641
20,4,0.2588
20,5,0.167
21,1,0.5808
21,4,0.096
21,5,0.0897
22,1,0.6449
22,7,0.2459
22,6,0.0488
23,1,0.6111
23,2,0.1349
23,6,0.0928
24,7,0.2951
24,1,0.1707
24,5,0.1404
25,6,0.3485
25,1,0.3061
25,5,0.1845
26,4,0.46
26,7,0.3207
26,14,0.1173
27,1,0.8387
27,2,0.1613
27,10,0.0
28,7,0.3815
28,1,0.3526
28,4,0.139
29,1,0.7588
29,6,0.1453
29,4,0.0566
30,1,0.3658
30,6,0.2216
30,7,0.1845
31,1,0.3691
31,4,0.1757
31,5,0.1501
32,4,0.796
32,1,0.1008
32,7,0.0979
33,1,0.7481
33,5,0.0993
33,4,0.0858
34,1,0.7055
34,18,0.0859
34,4,0.0696
35,7,0.3428
35,5,0.2739
35,4,0.2199
36,6,0.518
36,7,0.4722
36,1,0.0063
37,4,0.8883
37,7,0.0504
37,11,0.0467
38,1,0.3568
38,5,0.3056
38,4,0.1667
39,4,0.3898
39,1,0.3784
39,3,0.0926
40,1,0.4921
40,7,0.198
40,9,0.1191
41,7,0.4093
41,4,0.1499
41,3,0.1121
42,1,0.6806
42,10,0.1747
42,5,0.0996
43,7,0.5778
43,4,0.3564
43,6,0.0618
44,7,0.5162
44,6,0.1675
44,1,0.1425
45,4,0.8871
45,8,0.0919
45,1,0.0174
46,5,0.9284
46,1,0.0549
46,6,0.0078
47,4,0.5634
47,1,0.3641
47,10,0.0566
48,3,0.668
48,1,0.1884
48,4,0.0934
49,4,0.3811
49,1,0.2377
49,6,0.1416
50,1,0.8334
50,2,0.0644
50,3,0.0497
