statid,userID,videoID,watchCount,totalWatchDuration
1,1,5,5,01:48:30
2,1,7,4,00:58:43
3,1,9,3,00:04:06
4,1,49,2,00:02:14
5,1,52,2,00:01:18
6,1,59,9,12:18:13
7,1,63,4,00:11:41
8,1,82,3,00:04:24
9,1,84,4,00:45:38
10,1,85,2,21:03:25
11,1,97,1,00:01:20
12,1,98,4,00:05:33
13,1,104,4,01:59:12
14,1,107,1,00:01:02
15,1,110,1,00:00:13
16,1,111,2,00:03:56
17,1,112,2,00:02:07
18,1,139,7,03:17:16
19,1,141,2,00:01:39
20,1,177,4,21:30:38
21,1,186,2,00:01:08
22,1,199,2,00:03:29
23,1,208,1,00:00:35
24,1,232,1,00:00:35
25,1,241,3,00:02:25
26,1,244,4,00:02:30
27,1,255,9,03:07:38
28,1,260,6,01:40:59
29,1,268,10,02:42:08
30,1,288,1,00:00:51
31,1,294,4,01:01:35
32,1,309,1,00:01:02
33,1,328,1,00:01:08
34,1,330,1,00:03:08
35,1,336,5,01:55:49
36,1,344,9,00:09:03
37,1,345,8,02:01:12
38,1,353,7,02:01:29
39,1,360,2,00:05:25
40,1,367,1,00:00:50
41,1,370,1,00:01:02
42,1,375,5,21:25:56
43,1,384,1,00:00:39
44,1,394,1,20:50:13
45,1,414,7,00:09:15
46,1,458,1,00:00:10
47,1,465,4,02:17:11
48,1,468,18,06:03:47
49,1,473,1,00:00:24
50,1,479,1,00:00:41
51,1,495,1,00:00:52
52,1,510,1,00:00:07
53,1,514,1,00:00:28
54,1,548,4,01:47:53
55,1,552,2,00:02:27
56,1,575,12,19:43:47
57,1,576,2,00:04:14
58,1,587,2,00:11:37
59,1,590,2,00:15:10
60,1,595,19,05:45:00
61,1,598,3,00:06:09
62,1,603,1,00:00:36
63,1,611,1,00:00:12
64,1,624,3,22:06:18
65,1,627,12,03:20:16
66,1,646,1,00:00:47
67,1,652,1,00:00:04
68,1,666,7,26:20:15
69,1,697,2,00:01:21
70,1,698,1,00:01:51
71,1,702,1,00:01:36
72,1,713,1,00:01:46
73,1,727,1,00:01:16
74,1,730,4,00:11:30
75,1,732,8,23:48:58
76,1,757,4,00:05:51
77,1,767,1,00:01:15
78,1,770,3,00:02:19
79,1,782,2,00:07:28
80,1,797,1,00:43:55
81,1,832,3,00:05:19
82,1,834,7,02:16:50
83,1,859,1,00:00:48
84,1,861,1,00:00:57
85,1,878,1,00:00:32
86,1,880,13,24:55:58
87,1,888,2,00:02:36
88,1,889,4,01:37:46
89,1,899,1,00:02:06
90,1,901,4,01:47:26
91,1,923,2,00:01:43
92,1,933,3,00:02:33
93,1,938,6,24:11:29
94,1,941,2,00:02:08
95,1,956,4,00:32:38
96,1,959,3,00:35:27
97,1,965,4,01:46:33
98,1,967,1,00:10:37
99,1,995,4,00:22:50
100,1,1038,7,01:16:14
101,1,1039,4,01:57:58
102,1,1047,2,00:01:43
103,1,1048,2,00:01:25
