logid,watchDate,watchDuration,videoID,userID
58907,2017-01-01,00:05:23,951,22
58959,2017-01-01,00:48:14,445,22
59013,2017-01-01,00:16:44,1834,22
59042,2017-01-01,00:17:05,1834,22
59068,2017-01-01,00:01:38,1723,22
59075,2017-01-01,00:16:12,2070,22
59098,2017-01-01,00:03:08,2070,22
59106,2017-01-01,03:59:00,1723,22
59151,2017-01-01,00:00:03,1834,22
59176,2017-01-01,00:01:02,287,22
59527,2017-01-02,00:01:39,2070,22
59528,2017-01-02,00:00:13,2,12
59574,2017-01-02,00:02:24,2099,12
60192,2017-01-03,00:54:03,911,22
60249,2017-01-03,00:01:58,2070,22
60354,2017-01-04,00:03:22,287,22
60412,2017-01-04,00:04:54,1253,22
60749,2017-01-05,00:22:09,1263,22
60820,2017-01-05,00:00:19,444,22
60868,2017-01-05,00:04:51,444,22
60893,2017-01-05,00:33:26,169,22
60928,2017-01-05,00:02:14,935,22
60955,2017-01-05,00:00:09,196,22
60980,2017-01-05,00:39:48,1253,22
61007,2017-01-05,00:06:20,1685,22
61036,2017-01-05,00:04:46,196,22
61048,2017-01-05,00:04:57,1722,22
61064,2017-01-05,00:21:01,754,22
61092,2017-01-05,00:17:29,1805,22
61161,2017-01-06,00:00:44,936,22
61187,2017-01-06,00:15:32,445,22
61256,2017-01-06,00:08:21,1263,22
61273,2017-01-06,00:05:00,1828,22
61301,2017-01-06,02:38:20,230,22
61550,2017-01-06,00:03:55,1355,22
61563,2017-01-07,00:57:27,1560,22
61597,2017-01-07,00:26:25,2070,22
61629,2017-01-07,00:48:00,287,22
61656,2017-01-07,00:10:07,1784,22
61703,2017-01-07,02:04:08,967,22
62003,2017-01-07,00:41:11,1253,22
62376,2017-01-08,01:01:09,766,22
62543,2017-01-09,00:03:05,935,22
62578,2017-01-09,00:08:13,2054,22
62631,2017-01-09,00:02:33,1526,22
62660,2017-01-09,01:16:20,109,22
62691,2017-01-09,00:10:07,1541,22
62720,2017-01-09,00:00:11,2027,22
62735,2017-01-09,02:59:40,1809,22
63002,2017-01-10,01:45:33,1685,22
63436,2017-01-11,02:43:52,1975,22
63569,2017-01-12,16:41:46,720,22
63720,2017-01-12,00:00:58,604,22
63789,2017-01-12,00:18:43,676,22
63876,2017-01-13,01:18:30,348,22
64001,2017-01-13,00:00:35,720,22
64025,2017-01-13,01:10:37,720,22
64289,2017-01-14,15:54:40,964,22
64389,2017-01-14,01:10:54,604,22
64623,2017-01-15,00:32:21,964,22
64682,2017-01-15,00:14:55,499,22
64686,2017-01-15,00:06:16,119,22
64719,2017-01-15,00:04:17,1418,22
64721,2017-01-15,00:06:15,1584,22
64745,2017-01-15,00:20:56,628,22
64747,2017-01-15,00:26:18,79,22
64944,2017-01-16,00:11:41,607,22
64961,2017-01-16,00:01:58,655,22
64979,2017-01-16,00:02:21,559,22
65008,2017-01-16,00:30:58,1195,22
65046,2017-01-16,01:47:19,79,22
65072,2017-01-16,01:42:54,2086,22
65125,2017-01-16,00:20:13,79,22
65160,2017-01-16,00:13:22,2054,22
65357,2017-01-17,01:46:28,1220,22
65374,2017-01-17,01:39:28,936,22
65394,2017-01-17,00:05:00,1784,22
65409,2017-01-17,00:00:44,161,22
65558,2017-01-18,00:00:22,631,22
65620,2017-01-18,01:31:41,1819,22
65648,2017-01-18,00:00:45,120,22
65689,2017-01-18,00:38:52,669,22
65788,2017-01-19,00:02:06,2161,22
65860,2017-01-19,00:03:33,669,22
65882,2017-01-19,00:01:41,1901,22
65898,2017-01-19,00:09:09,1065,22
65907,2017-01-19,00:00:11,1051,22
65925,2017-01-19,00:02:02,90,22
65956,2017-01-19,00:01:15,1923,22
