videoID,median_seconds,total_watches,mean_seconds,min_seconds,max_seconds,median_time,mean_time
1,7066.0,1,7066.0,7066.0,7066.0,01:57:46,01:57:46
2,25.5,4,25.75,0.0,52.0,00:00:25,00:00:25
3,6508.5,3,6972.666666666667,6508.5,7901.0,01:48:28,01:56:12
4,9364.5,5,21936.6,0.0,85543.0,02:36:04,06:05:36
5,1302.0,7,958.5714285714286,74.0,1302.0,00:21:42,00:15:58
6,2256.6666666666665,4,1727.0,138.0,2256.6666666666665,00:37:36,00:28:47
7,880.75,5,704.6,0.0,880.75,00:14:40,00:11:44
8,3.125,12,27498.416666666668,3.125,173054.0,00:00:03,07:38:18
9,280.2,17,1388.2941176470588,30.0,3950.6666666666665,00:04:40,00:23:08
10,0.0,2,0.0,0.0,0.0,00:00:00,00:00:00
11,551.6666666666666,5,370.6,0.0,551.6666666666666,00:09:11,00:06:10
12,19591.0,4,14693.25,0.0,19591.0,05:26:31,04:04:53
13,5299.0,1,5299.0,5299.0,5299.0,01:28:19,01:28:19
14,0.0,4,444.25,0.0,1777.0,00:00:00,00:07:24
15,0.0,1,0.0,0.0,0.0,00:00:00,00:00:00
16,5841.0,2,5841.0,5082.0,6600.0,01:37:21,01:37:21
17,108.0,3,112692.66666666667,2.0,337968.0,00:01:48,31:18:12
18,7496.0,1,7496.0,7496.0,7496.0,02:04:56,02:04:56
19,2900.0,6,2900.0,2900.0,2900.0,00:48:20,00:48:20
20,4375.0,2,4375.0,4375.0,4375.0,01:12:55,01:12:55
21,0.0,1,0.0,0.0,0.0,00:00:00,00:00:00
22,5585.0,4,4188.75,0.0,5585.0,01:33:05,01:09:48
23,434.0,1,434.0,434.0,434.0,00:07:14,00:07:14
24,734.0,1,734.0,734.0,734.0,00:12:14,00:12:14
25,4490.0,1,4490.0,4490.0,4490.0,01:14:50,01:14:50
26,300.0,2,300.0,300.0,300.0,00:05:00,00:05:00
27,6597.0,1,6597.0,6597.0,6597.0,01:49:57,01:49:57
28,6634.0,1,6634.0,6634.0,6634.0,01:50:34,01:50:34
29,688064.5,3,474245.0,46606.0,688064.5,191:07:44,131:44:05
30,34321.5,3,22904.666666666668,71.0,34321.5,09:32:01,06:21:44
31,0.0,3,0.0,0.0,0.0,00:00:00,00:00:00
32,4200.0,2,4200.0,4200.0,4200.0,01:10:00,01:10:00
33,5026.0,3,3572.3333333333335,0.0,5691.0,01:23:46,00:59:32
34,1960.0,1,1960.0,1960.0,1960.0,00:32:40,00:32:40
35,146.0,1,146.0,146.0,146.0,00:02:26,00:02:26
36,300.0,3,200.0,0.0,300.0,00:05:00,00:03:20
37,25764.5,2,25764.5,6564.0,44965.0,07:09:24,07:09:24
38,23863.5,2,23863.5,0.0,47727.0,06:37:43,06:37:43
39,5288.0,3,3525.3333333333335,0.0,5288.0,01:28:08,00:58:45
40,595.0,1,595.0,595.0,595.0,00:09:55,00:09:55
41,0.0,1,0.0,0.0,0.0,00:00:00,00:00:00
42,5143.0,1,5143.0,5143.0,5143.0,01:25:43,01:25:43
43,142.5,6,142.5,142.5,142.5,00:02:22,00:02:22
44,2232.0,3,2232.0,2232.0,2232.0,00:37:12,00:37:12
45,4725.0,3,3176.6666666666665,0.0,4805.0,01:18:45,00:52:56
46,0.0,3,1508.6666666666667,0.0,4526.0,00:00:00,00:25:08
47,0.0,3,0.0,0.0,0.0,00:00:00,00:00:00
48,125480.5,2,125480.5,0.0,250961.0,34:51:20,34:51:20
49,63.666666666666664,7,46.42857142857143,0.0,67.0,00:01:03,00:00:46
50,6314.0,1,6314.0,6314.0,6314.0,01:45:14,01:45:14
51,8650.0,2,8650.0,7699.0,9601.0,02:24:10,02:24:10
52,39.0,4,31.25,0.0,47.0,00:00:39,00:00:31
53,0.0,1,0.0,0.0,0.0,00:00:00,00:00:00
54,4.25,4,4.25,4.25,4.25,00:00:04,00:00:04
55,5.0,4,4.75,-1.0,10.0,00:00:05,00:00:04
56,0.0,1,0.0,0.0,0.0,00:00:00,00:00:00
57,1553.6666666666667,6,2895.3333333333335,141.0,7304.0,00:25:53,00:48:15
58,497.5,2,497.5,0.0,995.0,00:08:17,00:08:17
59,4921.444444444444,18,232363.05555555556,52.0,1033989.5,01:22:01,64:32:43
60,11580.5,2,11580.5,3052.0,20109.0,03:13:00,03:13:00
61,0.0,1,0.0,0.0,0.0,00:00:00,00:00:00
62,22595.0,1,22595.0,22595.0,22595.0,06:16:35,06:16:35
63,175.25,7,329.14285714285717,150.0,1006.0,00:02:55,00:05:29
64,7090.0,1,7090.0,7090.0,7090.0,01:58:10,01:58:10
65,2044.0,1,2044.0,2044.0,2044.0,00:34:04,00:34:04
66,5440.0,1,5440.0,5440.0,5440.0,01:30:40,01:30:40
67,7426.0,7,14272.57142857143,243.0,30462.666666666668,02:03:46,03:57:52
68,8608.5,11,4714.454545454545,0.0,8608.5,02:23:28,01:18:34
69,0.0,4,2.25,0.0,9.0,00:00:00,00:00:02
70,162.5,2,162.5,162.5,162.5,00:02:42,00:02:42
71,3010.0,2,3010.0,0.0,6020.0,00:50:10,00:50:10
72,12.5,2,12.5,12.5,12.5,00:00:12,00:00:12
73,958.5,2,958.5,958.5,958.5,00:15:58,00:15:58
74,36976.0,3,27055.333333333332,7214.0,36976.0,10:16:16,07:30:55
75,44807.5,3,43470.333333333336,40796.0,44807.5,12:26:47,12:04:30
76,2.5,4,7.25,0.0,24.0,00:00:02,00:00:07
77,105.0,5,84.0,0.0,105.0,00:01:45,00:01:24
78,300.0,2,300.0,300.0,300.0,00:05:00,00:05:00
79,3076.6666666666665,3,3076.6666666666665,3076.6666666666665,3076.6666666666665,00:51:16,00:51:16
80,1409.8,6,1451.8333333333333,1409.8,1662.0,00:23:29,00:24:11
81,3501.0,2,3501.0,0.0,7002.0,00:58:21,00:58:21
82,88.0,4,1865.0,88.0,7196.0,00:01:28,00:31:05
83,1388.0,1,1388.0,1388.0,1388.0,00:23:08,00:23:08
84,415.75,8,379.0,0.0,684.5,00:06:55,00:06:19
85,37902.5,3,25268.333333333332,0.0,37902.5,10:31:42,07:01:08
86,5489.0,2,5489.0,5256.0,5722.0,01:31:29,01:31:29
87,636.0,1,636.0,636.0,636.0,00:10:36,00:10:36
88,6009.0,5,12295.2,0.0,44670.0,01:40:09,03:24:55
89,8518.444444444445,10,7731.7,651.0,8518.444444444445,02:21:58,02:08:51
90,122.0,1,122.0,122.0,122.0,00:02:02,00:02:02
91,3925.5,2,3925.5,3925.5,3925.5,01:05:25,01:05:25
92,6427.0,1,6427.0,6427.0,6427.0,01:47:07,01:47:07
93,4530.0,1,4530.0,4530.0,4530.0,01:15:30,01:15:30
94,0.0,1,0.0,0.0,0.0,00:00:00,00:00:00
95,47.0,1,47.0,47.0,47.0,00:00:47,00:00:47
96,105.0,2,105.0,0.0,210.0,00:01:45,00:01:45
97,6009.25,16,4516.0,0.0,6009.25,01:40:09,01:15:16
98,83.25,4,83.25,83.25,83.25,00:01:23,00:01:23
99,6684.0,1,6684.0,6684.0,6684.0,01:51:24,01:51:24
100,5364.5,2,5364.5,5364.5,5364.5,01:29:24,01:29:24
101,1729.0,4,1709.5,0.0,3380.0,00:28:49,00:28:29
102,857.0,1,857.0,857.0,857.0,00:14:17,00:14:17
103,460.6,9,3189.6666666666665,460.6,7978.0,00:07:40,00:53:09
104,1788.0,4,1788.0,1788.0,1788.0,00:29:48,00:29:48
105,36247.5,2,36247.5,36247.5,36247.5,10:04:07,10:04:07
106,4899.333333333333,9,3864.4444444444443,1794.6666666666667,4899.333333333333,01:21:39,01:04:24
107,13799.666666666666,4,10365.25,62.0,13799.666666666666,03:49:59,02:52:45
108,939.0,2,939.0,939.0,939.0,00:15:39,00:15:39
109,2399.0,3,3126.0,2399.0,4580.0,00:39:59,00:52:06
110,200.0,5,125.2,13.0,200.0,00:03:20,00:02:05
111,101.0,4,101.0,84.0,118.0,00:01:41,00:01:41
112,63.5,3,42.333333333333336,0.0,63.5,00:01:03,00:00:42
113,7654.0,1,7654.0,7654.0,7654.0,02:07:34,02:07:34
114,4007.5,2,4007.5,0.0,8015.0,01:06:47,01:06:47
115,0.0,1,0.0,0.0,0.0,00:00:00,00:00:00
116,4592.0,1,4592.0,4592.0,4592.0,01:16:32,01:16:32
117,5181.0,2,5181.0,5181.0,5181.0,01:26:21,01:26:21
118,5192.0,12,27789.166666666668,599.5,219390.0,01:26:32,07:43:09
119,376.0,1,376.0,376.0,376.0,00:06:16,00:06:16
120,45.0,1,45.0,45.0,45.0,00:00:45,00:00:45
121,4756.5,3,4146.333333333333,2926.0,4756.5,01:19:16,01:09:06
122,3557.5,5,3677.0,2777.5,5715.0,00:59:17,01:01:17
123,54304.0,1,54304.0,54304.0,54304.0,15:05:04,15:05:04
124,299.0,2,299.0,173.0,425.0,00:04:59,00:04:59
125,0.0,1,0.0,0.0,0.0,00:00:00,00:00:00
126,0.0,1,0.0,0.0,0.0,00:00:00,00:00:00
127,17432.75,4,17432.75,300.0,34565.5,04:50:32,04:50:32
128,1200.0,8,4337.5,0.0,18182.0,00:20:00,01:12:17
129,6547.5,4,8315.0,0.0,20165.0,01:49:07,02:18:35
130,7762.0,1,7762.0,7762.0,7762.0,02:09:22,02:09:22
131,3725.0,1,3725.0,3725.0,3725.0,01:02:05,01:02:05
132,5050.0,1,5050.0,5050.0,5050.0,01:24:10,01:24:10
133,6.5,5,1597.0,6.5,7959.0,00:00:06,00:26:37
134,0.0,4,4475.25,0.0,17901.0,00:00:00,01:14:35
135,1132.5,8,5177.5,0.0,23653.0,00:18:52,01:26:17
136,600.0,1,600.0,600.0,600.0,00:10:00,00:10:00
137,292.0,1,292.0,292.0,292.0,00:04:52,00:04:52
138,225970.0,5,135702.0,300.0,225970.0,62:46:10,37:41:42
